input,stage,compute_seconds,save_seconds,stage_seconds,output,details
cathedral.jpg,cropped,0.011361125041730702,0.00218104210216552,0.013551291078329086,cropped/cathedral_jpg.jpg,"{""overlap_bounds"": [12, 341, 3, 390], ""edge_depths"": {""top"": 4, ""bottom"": 3, ""left"": 11, ""right"": 18}, ""material_depths_rgb"": {""top"": [0, 0, 0], ""bottom"": [13, 6, 0], ""left"": [9, 8, 13], ""right"": [19, 20, 19]}, ""bounds_top_bottom_left_right"": [16, 328, 16, 370], ""retained_area_fraction"": 0.8304985337243401}"
cathedral.jpg,white_balance,0.0039601660100743175,0.0017173750093206763,0.00569229107350111,white_balance/cathedral_jpg.jpg,"{""percentile"": 99, ""rgb_gains"": [0.9760900139808655, 1.0014430284500122, 1.0235987901687622]}"
cathedral.jpg,contrast,0.005543750012293458,0.0021514170803129673,0.007708083023317158,contrast/cathedral_jpg.jpg,"{""percentiles"": [1, 99], ""input_limits"": [0.10838105529546738, 0.9071896076202393]}"
cathedral.jpg,color_mapping,0.002816457999870181,0.0023677500430494547,0.005200625048018992,color_mapping/cathedral_jpg.jpg,"{""matrix"": [[1.0629920000000002, -0.057215999999999996, -0.005776], [-0.017008000000000002, 1.0227840000000001, -0.005776], [-0.017008000000000002, -0.057215999999999996, 1.074224]], ""calibrated"": false}"
church.tif,cropped,0.4813847499899566,0.1757263329345733,0.6571203339844942,cropped/church_tif.jpg,"{""overlap_bounds"": [58, 3202, 4, 3630], ""edge_depths"": {""top"": 14, ""bottom"": 128, ""left"": 42, ""right"": 78}, ""material_depths_rgb"": {""top"": [0, 0, 49], ""bottom"": [0, 0, 0], ""left"": [101, 102, 105], ""right"": [200, 193, 211]}, ""bounds_top_bottom_left_right"": [107, 3074, 109, 3419], ""retained_area_fraction"": 0.8439938645941223}"
church.tif,white_balance,0.24778633401729167,0.11506320897024125,0.3628656250657514,white_balance/church_tif.jpg,"{""percentile"": 99, ""rgb_gains"": [1.0712443590164185, 1.103669285774231, 0.8617437481880188]}"
church.tif,contrast,0.5377005420159549,0.1188085419125855,0.656531082931906,contrast/church_tif.jpg,"{""percentiles"": [1, 99], ""input_limits"": [0.18984761834144592, 0.8134329915046692]}"
church.tif,color_mapping,0.0878284169593826,0.11877358297351748,0.2066167499870062,color_mapping/church_tif.jpg,"{""matrix"": [[1.0629920000000002, -0.057215999999999996, -0.005776], [-0.017008000000000002, 1.0227840000000001, -0.005776], [-0.017008000000000002, -0.057215999999999996, 1.074224]], ""calibrated"": false}"
emir.tif,cropped,0.43293466593604535,0.1385059580206871,0.5714497079607099,cropped/emir_tif.jpg,"{""overlap_bounds"": [107, 3209, 40, 3702], ""edge_depths"": {""top"": 23, ""bottom"": 118, ""left"": 174, ""right"": 127}, ""material_depths_rgb"": {""top"": [0, 0, 48], ""bottom"": [116, 24, 59], ""left"": [182, 177, 161], ""right"": [135, 145, 129]}, ""bounds_top_bottom_left_right"": [155, 3091, 222, 3557], ""retained_area_fraction"": 0.8242249521411198}"
emir.tif,white_balance,0.2690259580267593,0.12304041697643697,0.3920829580165446,white_balance/emir_tif.jpg,"{""percentile"": 99, ""rgb_gains"": [0.9863013029098511, 1.0158191919326782, 0.9983187317848206]}"
emir.tif,contrast,0.5416486670728773,0.14064258290454745,0.6823159590130672,contrast/emir_tif.jpg,"{""percentiles"": [1, 99], ""input_limits"": [0.09282836318016052, 0.8789196014404297]}"
emir.tif,color_mapping,0.09621700004208833,0.11742337502073497,0.21365537494421005,color_mapping/emir_tif.jpg,"{""matrix"": [[1.0629920000000002, -0.057215999999999996, -0.005776], [-0.017008000000000002, 1.0227840000000001, -0.005776], [-0.017008000000000002, -0.057215999999999996, 1.074224]], ""calibrated"": false}"
harvesters.tif,cropped,0.4373294170945883,0.1366087079513818,0.5739475840236992,cropped/harvesters_tif.jpg,"{""overlap_bounds"": [124, 3218, 17, 3683], ""edge_depths"": {""top"": 70, ""bottom"": 34, ""left"": 131, ""right"": 187}, ""material_depths_rgb"": {""top"": [0, 0, 75], ""bottom"": [74, 0, 0], ""left"": [199, 188, 211], ""right"": [198, 187, 197]}, ""bounds_top_bottom_left_right"": [199, 3144, 228, 3485], ""retained_area_fraction"": 0.8093107312637119}"
harvesters.tif,white_balance,0.22382216702681035,0.1163427090505138,0.34017950005363673,white_balance/harvesters_tif.jpg,"{""percentile"": 99, ""rgb_gains"": [1.0028139352798462, 0.99366295337677, 1.0035841464996338]}"
harvesters.tif,contrast,0.6335207079537213,0.1268014160450548,0.7603456249926239,contrast/harvesters_tif.jpg,"{""percentiles"": [1, 99], ""input_limits"": [0.09367397427558899, 0.9570611119270325]}"
harvesters.tif,color_mapping,0.09825549996457994,0.12729391700122505,0.22556629194878042,color_mapping/harvesters_tif.jpg,"{""matrix"": [[1.0629920000000002, -0.057215999999999996, -0.005776], [-0.017008000000000002, 1.0227840000000001, -0.005776], [-0.017008000000000002, -0.057215999999999996, 1.074224]], ""calibrated"": false}"
icon.tif,cropped,0.4628269999520853,0.19522112503182143,0.6580595419509336,cropped/icon_tif.jpg,"{""overlap_bounds"": [90, 3244, 23, 3741], ""edge_depths"": {""top"": 102, ""bottom"": 20, ""left"": 71, ""right"": 128}, ""material_depths_rgb"": {""top"": [120, 0, 116], ""bottom"": [74, 0, 25], ""left"": [224, 225, 209], ""right"": [98, 145, 120]}, ""bounds_top_bottom_left_right"": [210, 3170, 248, 3596], ""retained_area_fraction"": 0.8165985541625425}"
icon.tif,white_balance,0.2643019170500338,0.11859704193193465,0.38291379204019904,white_balance/icon_tif.jpg,"{""percentile"": 99, ""rgb_gains"": [0.9889820218086243, 0.9847427606582642, 1.0273633003234863]}"
icon.tif,contrast,0.5231705829501152,0.13542879093438387,0.6586286249803379,contrast/icon_tif.jpg,"{""percentiles"": [1, 99], ""input_limits"": [0.09493724256753922, 0.9149309992790222]}"
icon.tif,color_mapping,0.09097683406434953,0.12348645902238786,0.21447862510103732,color_mapping/icon_tif.jpg,"{""matrix"": [[1.0629920000000002, -0.057215999999999996, -0.005776], [-0.017008000000000002, 1.0227840000000001, -0.005776], [-0.017008000000000002, -0.057215999999999996, 1.074224]], ""calibrated"": false}"
ilemselga.tif,cropped,0.5561394580872729,0.20150637498591095,0.7576636250596493,cropped/ilemselga_tif.jpg,"{""overlap_bounds"": [131, 3270, 11, 3800], ""edge_depths"": {""top"": 64, ""bottom"": 108, ""left"": 101, ""right"": 209}, ""material_depths_rgb"": {""top"": [0, 0, 82], ""bottom"": [132, 0, 119], ""left"": [239, 233, 222], ""right"": [196, 202, 211]}, ""bounds_top_bottom_left_right"": [213, 3138, 250, 3589], ""retained_area_fraction"": 0.7859789956542733}"
ilemselga.tif,white_balance,0.27593775000423193,0.1282569169998169,0.40421004104427993,white_balance/ilemselga_tif.jpg,"{""percentile"": 99, ""rgb_gains"": [1.0517094135284424, 1.0247840881347656, 0.9316612482070923]}"
ilemselga.tif,contrast,0.38362983299884945,0.1358155420748517,0.519463500007987,contrast/ilemselga_tif.jpg,"{""percentiles"": [1, 99], ""input_limits"": [0.10474567115306854, 0.841672420501709]}"
ilemselga.tif,color_mapping,0.09250020794570446,0.1263789579970762,0.21889749995898455,color_mapping/ilemselga_tif.jpg,"{""matrix"": [[1.0629920000000002, -0.057215999999999996, -0.005776], [-0.017008000000000002, 1.0227840000000001, -0.005776], [-0.017008000000000002, -0.057215999999999996, 1.074224]], ""calibrated"": false}"
melons.tif,cropped,0.4409421250456944,0.1379570420831442,0.5789087499724701,cropped/melons_tif.jpg,"{""overlap_bounds"": [177, 3241, 13, 3770], ""edge_depths"": {""top"": 87, ""bottom"": 0, ""left"": 98, ""right"": 217}, ""material_depths_rgb"": {""top"": [0, 0, 97], ""bottom"": [0, 0, 0], ""left"": [211, 128, 104], ""right"": [222, 230, 242]}, ""bounds_top_bottom_left_right"": [274, 3241, 224, 3528], ""retained_area_fraction"": 0.8023007602362633}"
melons.tif,white_balance,0.24482962500769645,0.1489813330117613,0.3938335420098156,white_balance/melons_tif.jpg,"{""percentile"": 99, ""rgb_gains"": [0.9711378216743469, 1.000543236732483, 1.0300538539886475]}"
melons.tif,contrast,0.5271596250822768,0.13769366696942598,0.6648977079894394,contrast/melons_tif.jpg,"{""percentiles"": [1, 99], ""input_limits"": [0.10241597890853882, 0.9368327260017395]}"
melons.tif,color_mapping,0.09032720804680139,0.11646304093301296,0.20680625003296882,color_mapping/melons_tif.jpg,"{""matrix"": [[1.0629920000000002, -0.057215999999999996, -0.005776], [-0.017008000000000002, 1.0227840000000001, -0.005776], [-0.017008000000000002, -0.057215999999999996, 1.074224]], ""calibrated"": false}"
monastery.jpg,cropped,0.009327417006716132,0.0016291249776259065,0.01096637500450015,cropped/monastery_jpg.jpg,"{""overlap_bounds"": [3, 338, 2, 391], ""edge_depths"": {""top"": 12, ""bottom"": 7, ""left"": 18, ""right"": 14}, ""material_depths_rgb"": {""top"": [0, 0, 13], ""bottom"": [7, 0, 4], ""left"": [20, 21, 16], ""right"": [12, 12, 14]}, ""bounds_top_bottom_left_right"": [16, 331, 23, 377], ""retained_area_fraction"": 0.836339635943629}"
monastery.jpg,white_balance,0.00410008302424103,0.0017884999979287386,0.005898750037886202,white_balance/monastery_jpg.jpg,"{""percentile"": 99, ""rgb_gains"": [1.0110650062561035, 1.023809552192688, 0.9669312238693237]}"
monastery.jpg,contrast,0.00598849996458739,0.001601708005182445,0.007596709067001939,contrast/monastery_jpg.jpg,"{""percentiles"": [1, 99], ""input_limits"": [0.10438843071460724, 0.9555556178092957]}"
monastery.jpg,color_mapping,0.0019279590342193842,0.0018273330060765147,0.0037602500524371862,color_mapping/monastery_jpg.jpg,"{""matrix"": [[1.0629920000000002, -0.057215999999999996, -0.005776], [-0.017008000000000002, 1.0227840000000001, -0.005776], [-0.017008000000000002, -0.057215999999999996, 1.074224]], ""calibrated"": false}"
religous_painting.tif,cropped,0.49496916600037366,0.15158704097848386,0.6465654999483377,cropped/religous_painting_tif.jpg,"{""overlap_bounds"": [70, 3193, 6, 3742], ""edge_depths"": {""top"": 11, ""bottom"": 107, ""left"": 108, ""right"": 162}, ""material_depths_rgb"": {""top"": [0, 0, 61], ""bottom"": [78, 84, 114], ""left"": [106, 117, 126], ""right"": [164, 167, 163]}, ""bounds_top_bottom_left_right"": [131, 3079, 132, 3575], ""retained_area_fraction"": 0.8494969035518805}"
religous_painting.tif,white_balance,0.24906845798250288,0.12086016603279859,0.36994304100517184,white_balance/religous_painting_tif.jpg,"{""percentile"": 99, ""rgb_gains"": [0.9862872362136841, 1.0022505521774292, 1.0117954015731812]}"
religous_painting.tif,contrast,0.41549016593489796,0.13685079105198383,0.5523571249796078,contrast/religous_painting_tif.jpg,"{""percentiles"": [1, 99], ""input_limits"": [0.09861160814762115, 0.9694616198539734]}"
religous_painting.tif,color_mapping,0.1052207499742508,0.16670733399223536,0.27195191592909396,color_mapping/religous_painting_tif.jpg,"{""matrix"": [[1.0629920000000002, -0.057215999999999996, -0.005776], [-0.017008000000000002, 1.0227840000000001, -0.005776], [-0.017008000000000002, -0.057215999999999996, 1.074224]], ""calibrated"": false}"
