input,method,metric,green_dy,green_dx,red_dy,red_dx,compute_seconds,save_seconds,shared_prepare_seconds,generation_seconds,output
cathedral.jpg,single,SSD,5,2,12,3,0.23647529201116413,0.00554070807993412,0.010825500008650124,0.25285604200325906,single/cathedral_jpg.jpg
cathedral.jpg,brightness,NCC,5,2,12,3,0.16512066696304828,0.0046739589888602495,0.016250375076197088,0.18606012500822544,brightness/cathedral_jpg.jpg
cathedral.jpg,edges,NCC,5,2,12,3,0.138008208014071,0.00286566698923707,0.016250375076197088,0.1571350001031533,edges/cathedral_jpg.jpg
church.tif,brightness,NCC,25,4,58,-4,4.269447875092737,0.22498299996368587,0.7569043749244884,5.2514505829894915,brightness/church_tif.jpg
church.tif,edges,NCC,25,4,58,-4,4.711729291942902,0.1861588329775259,0.7569043749244884,5.6548522498924285,edges/church_tif.jpg
emir.tif,brightness,NCC,49,24,96,-250,3.663850124925375,0.18740345898550004,0.5093679999699816,4.360664124949835,brightness/emir_tif.jpg
emir.tif,edges,NCC,49,24,107,40,4.578667417052202,0.18119641591329128,0.5093679999699816,5.269255583058111,edges/emir_tif.jpg
harvesters.tif,brightness,NCC,60,17,124,14,4.000994666945189,0.2250817910535261,0.496185457915999,4.722349707852118,brightness/harvesters_tif.jpg
harvesters.tif,edges,NCC,60,17,124,14,4.6563560829963535,0.18927941599395126,0.496185457915999,5.341871082899161,edges/harvesters_tif.jpg
icon.tif,brightness,NCC,41,17,89,23,3.8081549169728532,0.24573075002990663,0.5514521249569952,4.605455458979122,brightness/icon_tif.jpg
icon.tif,edges,NCC,42,17,90,23,5.271276875049807,0.1994702919619158,0.5514521249569952,6.0223064590245485,edges/icon_tif.jpg
ilemselga.tif,brightness,NCC,40,7,130,11,4.072801707894541,0.18509383394848555,0.5087745829951018,4.766760873957537,brightness/ilemselga_tif.jpg
ilemselga.tif,edges,NCC,40,7,131,11,5.877055124961771,0.19804675003979355,0.5087745829951018,6.584009708021767,edges/ilemselga_tif.jpg
melons.tif,brightness,NCC,82,11,178,13,3.9977832920849323,0.18010408291593194,0.595000125002116,4.77293529198505,brightness/melons_tif.jpg
melons.tif,edges,NCC,80,10,177,13,5.238746833987534,0.22958849999122322,0.595000125002116,6.063412124989554,edges/melons_tif.jpg
monastery.jpg,single,SSD,-3,2,3,2,0.10880487505346537,0.003447249997407198,0.004318957915529609,0.11658062401693314,single/monastery_jpg.jpg
monastery.jpg,brightness,NCC,-3,2,3,2,0.11458449997007847,0.0027189160464331508,0.008500916883349419,0.12581308383960277,brightness/monastery_jpg.jpg
monastery.jpg,edges,NCC,-3,2,3,2,0.1193645839812234,0.0023179580457508564,0.008500916883349419,0.1301936258096248,edges/monastery_jpg.jpg
religous_painting.tif,brightness,NCC,28,3,68,7,3.5608081670943648,0.2645592089975253,0.5305461670504883,4.356013000127859,brightness/religous_painting_tif.jpg
religous_painting.tif,edges,NCC,30,5,70,6,4.621196207939647,0.20187529199756682,0.5305461670504883,5.353715542005375,edges/religous_painting_tif.jpg
self_portrait.tif,brightness,NCC,79,29,176,37,3.9299745419993997,0.22476949996780604,0.562511665862985,4.717386290896684,brightness/self_portrait_tif.jpg
self_portrait.tif,edges,NCC,78,29,176,37,4.975610583089292,0.20831287489272654,0.562511665862985,5.748313331860118,edges/self_portrait_tif.jpg
siren.tif,brightness,NCC,49,-6,96,-25,4.743361291009933,0.22503062500618398,0.8701562490314245,5.838678874075413,brightness/siren_tif.jpg
siren.tif,edges,NCC,49,-6,96,-24,5.31149591691792,0.3134593330323696,0.8701562490314245,6.496302957995795,edges/siren_tif.jpg
three_generations.tif,brightness,NCC,53,14,112,11,4.452415416948497,0.20877491706050932,0.5334706250578165,5.1947931670583785,brightness/three_generations_tif.jpg
three_generations.tif,edges,NCC,54,12,111,9,4.627807624987327,0.20215233403723687,0.5334706250578165,5.36347879213281,edges/three_generations_tif.jpg
tobolsk.jpg,single,SSD,3,3,6,3,0.12524220801424235,0.0027039579581469297,0.005144333932548761,0.13310187496244907,single/tobolsk_jpg.jpg
tobolsk.jpg,brightness,NCC,3,3,6,3,0.11688695894554257,0.002165124984458089,0.009088626015000045,0.12815037602558732,brightness/tobolsk_jpg.jpg
tobolsk.jpg,edges,NCC,3,3,6,3,0.12491491704713553,0.0017647499917075038,0.009088626015000045,0.13577700103633106,edges/tobolsk_jpg.jpg
wharf.tif,brightness,NCC,15,-7,83,-16,4.626010708976537,0.25414470909163356,0.5709878751076758,5.45127025002148,brightness/wharf_tif.jpg
wharf.tif,edges,NCC,15,-7,83,-16,6.631760041927919,0.2277668749447912,0.5709878751076758,7.430695959017612,edges/wharf_tif.jpg
